"","year","payroll_DB_legacy_est","payroll_DB_new_est","payroll_Hybrid_legacy_est","payroll_Hybrid_new_est","payroll_est","nc_rate_DB_legacy_est","nc_rate_DB_new_est","nc_rate_Hybrid_legacy_est","nc_rate_Hybrid_new_est","PVFB_DB_legacy_est","PVFB_DB_new_est","PVFB_Hybrid_legacy_est","PVFB_Hybrid_new_est","PVFNC_DB_legacy_est","PVFNC_DB_new_est","PVFNC_Hybrid_legacy_est","PVFNC_Hybrid_new_est","n_active","nc_rate_est","AAL_active_DB_legacy_est","AAL_active_DB_new_est","AAL_active_Hybrid_legacy_est","AAL_active_Hybrid_new_est"
"1",2022,11754742482.867,0,388931357.132949,0,12143673840,0.122237580779246,0,0.0575448009495621,0,42547599244.5012,0,522680052.592955,0,15080797226.3043,0,275670717.155999,0,174028,0.120165633608449,27466802018.1969,0,247009335.436956,0
"2",2023,11627623965.6348,563442851.52964,386409563.163951,29654886.9226127,12607131267.251,0.121806195281693,0.136262564238405,0.0573416738834875,0.061211951644867,44112706007.9759,615124961.623219,552871025.869431,14637458.4857011,14699581748.3569,615124961.623219,272586689.827661,14637458.4857011,174028,0.12033391067903,29413124259.6189,0,280284336.04177,0
"3",2024,11625447458.8835,1009041070.39075,390317006.126634,53107424.7574081,13077912960.1583,0.121529922254661,0.136347613590742,0.0571892879873002,0.061251053118782,45804790844.6422,1313732831.51034,584936107.737994,31743250.5448238,14312235835.3217,1266537413.46442,269510386.959189,30150428.6924025,174028,0.120508135356334,31492555009.3205,47195418.0459218,315425720.778805,1592821.85242138
"4",2025,11603894458.494,1472264634.26411,395240430.465178,77487612.3296903,13548887135.553,0.121221741824692,0.136431470093831,0.0570037757954417,0.0612896040863953,47035045341.5184,2119947274.98759,616691037.637881,51759824.1458566,13901252617.9405,1980868811.20073,266054162.376615,47171047.4560541,174028,0.120658390038795,33133792723.578,139078463.786861,350636875.261266,4588776.68980256
"5",2026,11361463993.0715,2030749849.94047,399306537.851934,106881571.049499,13898401951.9134,0.120816180358765,0.136523269390153,0.0567443746664844,0.061331804341943,47041503973.1616,3123081302.63681,646867190.188156,76958616.3735597,13467696002.9878,2849381167.23041,262147756.859447,67872218.3053273,174028,0.120812949356154,33573807970.1738,273700135.406398,384719433.328708,9086398.06823236
"6",2027,11286929668.38,2499432847.02881,406661117.759685,131549097.212043,14324572730.3805,0.120683950662004,0.136603327207903,0.0565867812610705,0.061368604869386,47876603454.545,4145008108.12298,681146957.069079,103165156.434217,13037786040.2704,3679703215.24338,257839700.048962,87678859.5720803,174028,0.12109727579294,34838817414.2746,465304892.8796,423307257.020118,15486296.8621366
"7",2028,11264837212.1009,2959103429.37115,414759968.444799,155742285.756376,14794442895.6733,0.120569105201314,0.136681312594719,0.0564479133971695,0.0614044507905694,49038886400.9228,5220933714.87565,717389677.714192,131088924.058457,12588279799.865,4511337882.88156,252876835.334339,107530130.482205,174028,0.121371321697941,36450606601.0578,709595831.994095,464512842.379853,23558793.5762517
"8",2029,11264967223.4023,3428912715.68141,423369220.43491,180469090.299022,15297718249.8176,0.120468712245258,0.136681803676693,0.0563144274918282,0.0614303282108135,50337463960.3217,6372868940.99158,755204678.77119,161111684.379988,12111268042.9541,5360064288.4046,247165879.028358,127802271.148343,174028,0.121630828195912,38226195917.3676,1012804652.58698,508038799.742831,33309413.2316448
"9",2030,11211995841.6487,3957046742.42084,431051463.903331,208265618.02215,15808359665.9951,0.120266872425674,0.136663858719014,0.0561177951540934,0.0614523709732496,50979643675.5829,7656240920.72977,791483400.089161,194525027.680902,11601980711.0726,6270915887.6559,240625695.29389,149563683.128846,174028,0.121847241898903,39377662964.5103,1385325033.07387,550857704.795271,44961344.5520559
"10",2031,10807758385.1241,4670727554.88551,432349090.566171,245827766.046606,16156662796.6224,0.119957915062685,0.13665304695969,0.0557816508398482,0.0614773948258575,49905329663.8763,9229758870.98141,822962842.568454,235120541.884696,11065687687.3229,7392506157.87962,233279836.212263,176350910.401633,174028,0.122177168377271,38839641976.5533,1837252713.10178,589683006.35619,58769631.4830637
